category,aspect,year,n_high_rating,n_negative,hdr
Beauty_and_Personal_Care,shipping,2019,2046,307,0.15004887585532747
Beauty_and_Personal_Care,shipping,2020,2953,478,0.16186928547240095
Beauty_and_Personal_Care,shipping,2021,2849,494,0.1733941733941734
Beauty_and_Personal_Care,shipping,2022,2744,505,0.18403790087463556
Beauty_and_Personal_Care,shipping,2023,1212,207,0.1707920792079208
Beauty_and_Personal_Care,usability,2011,117,10,0.08547008547008547
Beauty_and_Personal_Care,usability,2012,295,35,0.11864406779661017
Beauty_and_Personal_Care,usability,2013,991,86,0.08678102926337034
Beauty_and_Personal_Care,usability,2014,1125,119,0.10577777777777778
Beauty_and_Personal_Care,usability,2015,1166,138,0.1183533447684391
Beauty_and_Personal_Care,usability,2016,1490,186,0.12483221476510067
Beauty_and_Personal_Care,usability,2017,1420,185,0.13028169014084506
Beauty_and_Personal_Care,usability,2018,1556,196,0.12596401028277635
Beauty_and_Personal_Care,usability,2019,2046,268,0.13098729227761485
Beauty_and_Personal_Care,usability,2020,2953,445,0.15069420927869961
Beauty_and_Personal_Care,usability,2021,2849,433,0.151983151983152
Beauty_and_Personal_Care,usability,2022,2744,452,0.16472303206997085
Beauty_and_Personal_Care,usability,2023,1212,181,0.14933993399339934
Beauty_and_Personal_Care,value,2011,117,9,0.07692307692307693
Beauty_and_Personal_Care,value,2012,295,27,0.09152542372881356
Beauty_and_Personal_Care,value,2013,991,55,0.055499495459132187
Beauty_and_Personal_Care,value,2014,1125,90,0.08
Beauty_and_Personal_Care,value,2015,1166,96,0.0823327615780446
Beauty_and_Personal_Care,value,2016,1490,139,0.09328859060402685
Beauty_and_Personal_Care,value,2017,1420,123,0.08661971830985915
Beauty_and_Personal_Care,value,2018,1556,131,0.08419023136246787
Beauty_and_Personal_Care,value,2019,2046,196,0.09579667644183773
Beauty_and_Personal_Care,value,2020,2953,328,0.1110734845919404
Beauty_and_Personal_Care,value,2021,2849,311,0.10916110916110916
Beauty_and_Personal_Care,value,2022,2744,336,0.12244897959183673
Beauty_and_Personal_Care,value,2023,1212,134,0.11056105610561057
Electronics,durability,2009,108,14,0.12962962962962962
Electronics,durability,2010,284,42,0.14788732394366197
Electronics,durability,2011,444,56,0.12612612612612611
Electronics,durability,2012,750,80,0.10666666666666667
Electronics,durability,2013,1662,191,0.11492178098676294
Electronics,durability,2014,1554,192,0.12355212355212356
Electronics,durability,2015,1372,227,0.16545189504373178
Electronics,durability,2016,1497,230,0.15364061456245826
Electronics,durability,2017,1478,221,0.14952638700947227
Electronics,durability,2018,1550,237,0.1529032258064516
Electronics,durability,2019,1968,346,0.1758130081300813
Electronics,durability,2020,2355,376,0.15966029723991507
Electronics,durability,2021,2193,359,0.16370269037847698
Electronics,durability,2022,1769,349,0.19728660260033917
Electronics,durability,2023,757,125,0.16512549537648613
Electronics,quality,2009,108,11,0.10185185185185185
Electronics,quality,2010,284,45,0.15845070422535212
Electronics,quality,2011,444,60,0.13513513513513514
Electronics,quality,2012,750,88,0.11733333333333333
Electronics,quality,2013,1662,214,0.12876052948255115
Electronics,quality,2014,1554,198,0.1274131274131274
Electronics,quality,2015,1372,235,0.17128279883381925
Electronics,quality,2016,1497,250,0.16700066800267202
Electronics,quality,2017,1478,233,0.15764546684709066
Electronics,quality,2018,1550,254,0.1638709677419355
Electronics,quality,2019,1968,360,0.18292682926829268
Electronics,quality,2020,2355,404,0.17154989384288746
Electronics,quality,2021,2193,359,0.16370269037847698
Electronics,quality,2022,1769,346,0.19559072922555115
Electronics,quality,2023,757,127,0.16776750330250992
Electronics,shipping,2009,108,14,0.12962962962962962
Electronics,shipping,2010,284,43,0.15140845070422534
Electronics,shipping,2011,444,62,0.13963963963963963
Electronics,shipping,2012,750,80,0.10666666666666667
Electronics,shipping,2013,1662,211,0.1269554753309266
Electronics,shipping,2014,1554,186,0.11969111969111969
Electronics,shipping,2015,1372,227,0.16545189504373178
Electronics,shipping,2016,1497,226,0.1509686038744155
Electronics,shipping,2017,1478,226,0.15290933694181327
Electronics,shipping,2018,1550,247,0.15935483870967743
Electronics,shipping,2019,1968,337,0.17123983739837398
Electronics,shipping,2020,2355,386,0.16390658174097664
Electronics,shipping,2021,2193,357,0.16279069767441862
Electronics,shipping,2022,1769,346,0.19559072922555115
Electronics,shipping,2023,757,120,0.15852047556142668
Electronics,usability,2009,108,15,0.1388888888888889
Electronics,usability,2010,284,44,0.15492957746478872
Electronics,usability,2011,444,53,0.11936936936936937
Electronics,usability,2012,750,81,0.108
Electronics,usability,2013,1662,192,0.11552346570397112
Electronics,usability,2014,1554,187,0.12033462033462033
Electronics,usability,2015,1372,228,0.1661807580174927
Electronics,usability,2016,1497,216,0.14428857715430862
Electronics,usability,2017,1478,234,0.15832205683355885
Electronics,usability,2018,1550,225,0.14516129032258066
Electronics,usability,2019,1968,321,0.16310975609756098
Electronics,usability,2020,2355,397,0.16857749469214436
Electronics,usability,2021,2193,354,0.16142270861833105
Electronics,usability,2022,1769,323,0.18258903335217638
Electronics,usability,2023,757,123,0.16248348745046234
Electronics,value,2009,108,10,0.09259259259259259
Electronics,value,2010,284,32,0.11267605633802817
Electronics,value,2011,444,40,0.09009009009009009
Electronics,value,2012,750,56,0.07466666666666667
Electronics,value,2013,1662,130,0.07821901323706378
Electronics,value,2014,1554,125,0.08043758043758044
Electronics,value,2015,1372,154,0.11224489795918367
Electronics,value,2016,1497,152,0.10153640614562458
Electronics,value,2017,1478,138,0.09336941813261164
Electronics,value,2018,1550,156,0.10064516129032258
Electronics,value,2019,1968,244,0.12398373983739837
Electronics,value,2020,2355,272,0.11549893842887474
Electronics,value,2021,2193,243,0.11080711354309165
Electronics,value,2022,1769,233,0.1317128321085359
Electronics,value,2023,757,90,0.11889035667107001
Video_Games,durability,2009,227,36,0.15859030837004406
Video_Games,durability,2010,398,52,0.1306532663316583
Video_Games,durability,2011,660,87,0.1318181818181818
Video_Games,durability,2012,897,115,0.1282051282051282
Video_Games,durability,2013,2233,254,0.11374832064487236
Video_Games,durability,2014,1747,216,0.12364052661705781
Video_Games,durability,2015,1284,218,0.16978193146417445
Video_Games,durability,2016,1317,229,0.1738800303720577
Video_Games,durability,2017,1334,216,0.1619190404797601
Video_Games,durability,2018,1424,251,0.17626404494382023
Video_Games,durability,2019,1668,286,0.17146282973621102
Video_Games,durability,2020,2150,372,0.17302325581395347
Video_Games,durability,2021,1996,366,0.18336673346693386
Video_Games,durability,2022,1694,318,0.18772136953955135
Video_Games,durability,2023,747,139,0.18607764390896922
Video_Games,quality,2009,227,34,0.14977973568281938
Video_Games,quality,2010,398,57,0.14321608040201006
Video_Games,quality,2011,660,92,0.1393939393939394
Video_Games,quality,2012,897,128,0.1426978818283166
Video_Games,quality,2013,2233,274,0.12270488132557097
Video_Games,quality,2014,1747,236,0.13508872352604465
Video_Games,quality,2015,1284,226,0.17601246105919002
Video_Games,quality,2016,1317,241,0.1829916476841306
Video_Games,quality,2017,1334,222,0.1664167916041979
Video_Games,quality,2018,1424,259,0.1818820224719101
Video_Games,quality,2019,1668,284,0.17026378896882494
Video_Games,quality,2020,2150,374,0.173953488372093
Video_Games,quality,2021,1996,380,0.1903807615230461
Video_Games,quality,2022,1694,330,0.19480519480519481
Video_Games,quality,2023,747,138,0.18473895582329317
Video_Games,shipping,2009,227,35,0.15418502202643172
Video_Games,shipping,2010,398,45,0.11306532663316583
Video_Games,shipping,2011,660,84,0.12727272727272726
Video_Games,shipping,2012,897,116,0.12931995540691194
Video_Games,shipping,2013,2233,249,0.11150918047469771
Video_Games,shipping,2014,1747,215,0.12306811677160848
Video_Games,shipping,2015,1284,206,0.16043613707165108
Video_Games,shipping,2016,1317,220,0.16704631738800305
Video_Games,shipping,2017,1334,199,0.14917541229385306
Video_Games,shipping,2018,1424,250,0.175561797752809
Video_Games,shipping,2019,1668,281,0.1684652278177458
Video_Games,shipping,2020,2150,351,0.16325581395348837
Video_Games,shipping,2021,1996,371,0.18587174348697394
Video_Games,shipping,2022,1694,304,0.179456906729634
Video_Games,shipping,2023,747,131,0.1753681392235609
Video_Games,usability,2009,227,40,0.1762114537444934
Video_Games,usability,2010,398,60,0.1507537688442211
Video_Games,usability,2011,660,96,0.14545454545454545
Video_Games,usability,2012,897,133,0.14827201783723523
Video_Games,usability,2013,2233,286,0.12807881773399016
Video_Games,usability,2014,1747,233,0.1333714939896966
Video_Games,usability,2015,1284,228,0.17757009345794392
Video_Games,usability,2016,1317,219,0.1662870159453303
Video_Games,usability,2017,1334,210,0.15742128935532235
Video_Games,usability,2018,1424,265,0.18609550561797752
Video_Games,usability,2019,1668,263,0.15767386091127097
Video_Games,usability,2020,2150,362,0.16837209302325581
Video_Games,usability,2021,1996,378,0.18937875751503006
Video_Games,usability,2022,1694,304,0.179456906729634
Video_Games,usability,2023,747,131,0.1753681392235609
Video_Games,value,2009,227,29,0.1277533039647577
Video_Games,value,2010,398,36,0.09045226130653267
Video_Games,value,2011,660,67,0.10151515151515152
Video_Games,value,2012,897,96,0.10702341137123746
Video_Games,value,2013,2233,175,0.07836990595611286
Video_Games,value,2014,1747,148,0.08471665712650257
Video_Games,value,2015,1284,146,0.11370716510903427
Video_Games,value,2016,1317,151,0.11465451784358391
Video_Games,value,2017,1334,147,0.11019490254872563
Video_Games,value,2018,1424,155,0.10884831460674158
Video_Games,value,2019,1668,185,0.11091127098321343
Video_Games,value,2020,2150,248,0.11534883720930232
Video_Games,value,2021,1996,267,0.13376753507014028
Video_Games,value,2022,1694,211,0.12455726092089728
Video_Games,value,2023,747,92,0.12315930388219545
